country,lat,long,freq,points,prices
Albania,41.141353306048785,20.03242643144321,2,88.0,20.0
Argentina,-35.44682148949512,-65.17536077114173,5631,85.9960930562955,20.794880973688922
Australia,-25.730654779726088,134.50277547536606,4957,87.89247528747227,31.258479771148345
Austria,47.6139487927463,14.076158884337072,3057,89.27674190382729,31.192106322996377
Brazil,-10.806773643498916,-53.05434003576711,25,83.24,19.92
Bulgaria,42.7531187620217,25.19511095327711,77,85.46753246753246,11.545454545454545
Canada,61.46907614534886,-98.14238137209696,196,88.23979591836735,34.628865979381445
Chile,-39.04701430994843,-71.52064394516432,5816,86.29676753782668,19.344779743322928
China,36.55506653185868,103.88361230063238,3,82.0,20.333333333333332
Croatia,45.01623399593114,16.566189771645533,89,86.28089887640449,23.10843373493976
Cyprus,34.90706085094344,33.03955380295407,31,85.87096774193549,15.483870967741936
Czechia,49.775245294369,15.334558102365815,6,85.83333333333333,18.0
Egypt,26.50661999974957,29.844461513124415,3,83.66666666666667,-1
France,42.46070432663376,-2.876696699270548,21098,88.92586975068727,45.61988501859993
Georgia,42.16201501415301,43.48154265409026,43,85.51162790697674,18.58139534883721
Germany,51.13372269040778,10.288485092742851,2452,88.62642740619903,39.011077971879
Greece,39.06671589971396,22.71981344709506,884,86.11764705882354,21.74770642201835
Hungary,47.19995117195427,19.357628627745918,231,87.32900432900433,44.20434782608696
India,22.92500640740852,79.59370376325381,8,87.625,13.875
Israel,31.4849193900197,35.003851206429005,630,87.17619047619047,31.304918032786887
Italy,42.75118305296426,12.140788372235868,23478,88.41366385552432,37.54791311754685
Japan,37.663110811704634,138.0649621327077,2,85.0,24.0
Lebanon,33.91182720781994,35.87098632001643,37,85.70270270270271,25.43243243243243
Lithuania,55.284319484766066,23.88064027584349,8,84.25,10.0
Luxembourg,49.76570507415103,5.965223432343999,9,87.0,40.666666666666664
Macedonia,41.60592964714007,21.697903375280845,16,84.8125,15.3125
Mexico,23.935371902244835,-102.5763495239869,63,84.76190476190476,29.095238095238095
Moldova,47.20367642606752,28.41048279080328,71,84.71830985915493,15.366197183098592
Montenegro,42.78903960655908,19.2861817215929,2,82.0,10.0
Morocco,29.885394698302058,-8.420479544549693,12,88.16666666666667,18.833333333333332
New Zealand,-41.662578757158705,172.70192594405583,3320,87.55421686746988,24.173289902280132
Portugal,39.63404977497817,-8.055765588295687,5322,88.05768508079669,26.332614942528735
Romania,45.857101035738005,24.943252494635377,139,84.92086330935251,16.39568345323741
Serbia,44.23303653365162,20.819651926382583,14,87.71428571428571,24.285714285714285
Slovakia,48.7267113517275,19.507657147433708,3,83.66666666666667,15.333333333333334
Slovenia,46.12542205901039,14.938152320795732,94,88.23404255319149,28.061728395061728
South Africa,-28.947033259979115,25.048013879861678,2258,87.22542072630647,21.13053196244971
South Korea,36.42759860415487,127.8213171283307,4,81.5,13.5
Spain,40.348656106226734,-3.6170206023873743,8268,86.64658925979681,27.048529411764704
Switzerland,46.79173768366762,8.118300613385486,4,87.25,26.5
Tunisia,34.172939036882376,9.534716120695835,2,86.0,-1
Turkey,39.0683719406147,35.116900150938385,52,88.09615384615384,25.8
Ukraine,49.14882260840351,31.229122070266495,5,84.6,13.0
United Kingdom,53.91477348053705,-2.8531353951805554,9,92.88888888888889,47.5
United States of America,45.70562800215186,-112.59943591150449,62397,87.81878936487331,33.65380839730282
Uruguay,-32.780904365230825,-56.003278666548475,92,84.47826086956522,25.847058823529412
